                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4561,                 1.0483,                 1.0074,                0.47648,                0.66795,                0.45367,                0.28412,                 1.7082,                 1.3007,                 1.1314,                 0.0757,                 0.0027,                 0.0027
                      1,                 1.4325,                 1.0297,                0.99811,                0.74859,                0.73568,                  0.722,                0.50104,                 1.6759,                 1.1152,                 1.1231,                0.05016,              0.0051597,              0.0051597
                      2,                 1.4345,                 1.0414,                  1.003,                0.69877,                0.52846,                0.60602,                0.39871,                 1.7033,                  1.282,                 1.1417,               0.024273,              0.0072729,              0.0072729
                      3,                  1.478,                 1.0703,                 1.0065,                0.86252,                0.61536,                0.69677,                0.47467,                 1.7454,                 1.1796,                 1.1465,              0.0081437,              0.0081437,              0.0081437
                      4,                 1.5092,                  1.094,                 1.0104,                0.82717,                0.73568,                0.71797,                0.51539,                 1.6951,                 1.1853,                 1.1168,              0.0081437,              0.0081437,              0.0081437
                      5,                 1.4629,                 1.0719,                 1.0161,                0.82406,                0.71956,                0.71621,                0.48003,                 1.7251,                 1.1401,                 1.1188,               0.007525,               0.007525,               0.007525
                      6,                 1.5202,                 1.1511,                 1.0347,                0.80953,                0.72022,                0.70749,                0.49535,                 1.7028,                 1.1764,                 1.1523,              0.0069063,              0.0069063,              0.0069063
                      7,                 1.4761,                 1.1264,                  1.041,                0.50788,                0.72656,                0.63661,                0.42584,                 1.7171,                 1.3013,                 1.1406,              0.0062875,              0.0062875,              0.0062875
                      8,                 1.4748,                 1.1049,                 1.0409,                0.90894,                0.62593,                0.73916,                0.50087,                 1.6849,                  1.197,                 1.1416,              0.0056688,              0.0056688,              0.0056688
                      9,                 1.4624,                 1.1115,                  1.031,                0.81435,                0.72686,                0.73926,                0.52334,                 1.6852,                 1.1178,                 1.1356,                0.00505,                0.00505,                0.00505
                     10,                 1.4632,                 1.0965,                 1.0425,                0.93206,                0.61534,                 0.7346,                0.52283,                 1.6321,                 1.2287,                 1.1191,              0.0044313,              0.0044313,              0.0044313
                     11,                 1.4707,                 1.1075,                 1.0253,                0.78672,                0.73344,                0.73464,                0.51279,                 1.6648,                 1.1763,                 1.1242,              0.0038125,              0.0038125,              0.0038125
                     12,                 1.4503,                 1.0935,                 1.0188,                0.81087,                0.74219,                0.73018,                0.51276,                  1.639,                 1.1268,                 1.1146,              0.0031938,              0.0031938,              0.0031938
                     13,                 1.4333,                 1.0821,                 1.0341,                0.85925,                0.73273,                0.73167,                 0.5053,                 1.6389,                  1.117,                 1.1096,               0.002575,               0.002575,               0.002575
                     14,                  1.388,                 1.0378,                 1.0057,                0.86481,                0.70443,                0.73165,                0.51321,                 1.6476,                 1.1289,                 1.1258,              0.0019563,              0.0019563,              0.0019563
                     15,                 1.4153,                 1.0421,                  1.004,                 0.8268,                0.73568,                0.73866,                0.52162,                 1.6414,                 1.0771,                 1.1118,              0.0013375,              0.0013375,              0.0013375
